sku_id,ASIS_1센터_kg,ASIS_2센터_kg,ASIS_3센터_kg,ASIS_4센터_kg,ASIS_5센터_kg,TO_BE_1센터_kg,TO_BE_2센터_kg,TO_BE_3센터_kg,TO_BE_4센터_kg,TO_BE_5센터_kg,TO_BE_총재고_kg,storage_type
234313,3300.0,0.0,0.0,0.0,0.0,2950.0,0.0,0.0,314.2,35.8,3300.0,냉장
234452,505.2,0.0,0.0,0.0,0.0,491.8,3.4,1.0,6.6,2.4,505.2,냉동
234499,6768.0,0.0,0.0,0.0,0.0,6603.3,35.8,0.0,78.4,50.4,6767.9,실온
234560,461.6,0.0,0.0,0.0,0.0,416.2,7.8,9.4,10.2,18.0,461.6,냉동
235555,2166.0,0.0,2025.0,2115.0,0.0,2104.2,35.2,2025.0,2115.0,26.6,6306.0,냉동
236220,3722.2,0.0,0.0,2819.4,0.0,3722.2,23.4,0.0,2778.3,17.6,6541.5,실온
237766,0.0,3483.0,0.0,0.0,0.0,52.5,3365.0,0.0,53.4,12.1,3483.0,실온
239195,0.0,0.0,0.0,0.0,3017.6,84.0,72.9,0.0,64.0,2796.7,3017.6,실온
239196,0.0,0.0,0.0,0.0,4179.0,123.6,101.4,0.0,116.8,3837.2,4179.0,실온
240239,0.0,0.0,0.0,878.0,0.0,38.6,19.9,37.5,775.2,6.8,878.0,냉동
241524,1551.7,0.0,0.0,0.0,1041.2,1482.9,29.6,0.0,39.2,1041.2,2592.9,실온
242122,575.0,0.0,0.0,0.0,0.0,550.4,2.9,0.0,14.2,7.5,575.0,실온
242829,415.6,0.0,0.0,0.0,0.0,387.8,5.6,0.0,13.3,8.9,415.6,실온
242971,0.0,0.0,0.0,814.5,0.0,38.4,23.5,21.9,716.4,14.4,814.6,냉동
242972,0.0,0.0,0.0,1174.0,0.0,34.9,19.7,22.7,1077.3,19.4,1174.0,냉동
243128,411.8,0.0,0.0,758.2,0.0,411.8,77.4,31.2,582.6,67.1,1170.1,냉동
245990,0.0,4498.2,0.0,0.0,0.0,20.2,4449.2,0.0,19.0,9.8,4498.2,실온
246223,0.0,0.0,0.0,1530.0,0.0,97.3,305.0,0.0,843.3,284.3,1529.9,냉장
246225,0.0,0.0,0.0,1454.0,0.0,135.3,379.7,0.0,638.3,300.7,1454.0,냉장
246226,0.0,0.0,0.0,2020.0,0.0,99.3,315.3,0.0,1353.7,251.7,2020.0,냉장
246398,0.0,768.0,0.0,0.0,1264.0,38.7,768.0,0.0,34.6,1190.6,2031.9,실온
246859,1398.0,0.0,0.0,0.0,865.0,1398.0,76.4,20.5,42.0,726.1,2263.0,냉동
246934,1967.0,0.0,0.0,0.0,86.0,1936.8,16.8,8.9,4.6,86.0,2053.1,냉동
247343,1220.1,0.0,1115.1,0.0,1169.7,1220.1,44.7,1012.3,58.2,1169.7,3505.0,냉동
248028,1523.0,0.0,0.0,0.0,0.0,1315.5,56.0,62.2,72.8,16.5,1523.0,냉동
249240,842.5,1568.0,0.0,0.0,0.0,752.7,1568.0,0.0,60.6,29.1,2410.4,실온
249821,0.0,1530.0,0.0,0.0,0.0,64.8,1368.9,0.0,66.3,30.0,1530.0,실온
249971,0.0,0.0,0.0,0.0,118.8,35.3,41.6,0.0,33.3,8.6,118.8,실온
251923,612.0,0.0,0.0,0.0,2060.0,612.0,29.1,0.0,59.6,1971.2,2671.9,실온
253315,129.7,0.0,0.0,0.0,0.0,112.8,5.8,0.0,6.8,4.4,129.8,실온
253339,0.0,0.0,0.0,0.0,1206.5,24.0,23.6,5.1,25.4,1128.5,1206.6,냉동
256914,1275.0,0.0,0.0,0.0,0.0,1086.5,65.5,0.0,65.3,57.7,1275.0,냉장
257525,0.0,1764.0,0.0,0.0,0.0,11.7,1729.5,0.0,14.4,8.4,1764.0,실온
257586,0.0,3339.0,0.0,0.0,0.0,24.6,3272.2,0.0,28.7,13.5,3339.0,실온
257722,3013.1,0.0,0.0,0.0,0.0,2988.5,8.0,0.0,13.5,3.1,3013.1,실온
257767,0.0,0.0,0.0,0.0,617.4,17.6,17.1,0.0,15.7,567.0,617.4,냉장
259353,571.2,2385.6,0.0,0.0,0.0,530.4,2385.6,0.0,22.7,18.0,2956.7,실온
259445,0.0,0.0,0.0,0.0,980.0,16.4,9.7,0.0,24.4,929.6,980.1,냉장
261303,85.0,0.0,0.0,0.0,0.0,30.0,16.8,0.0,25.2,13.0,85.0,실온
262528,0.0,0.0,0.0,450.0,0.0,18.7,13.9,6.2,405.2,6.0,450.0,냉동
262993,0.0,17150.0,0.0,0.0,9830.0,399.7,17150.0,0.0,311.3,9119.0,26980.0,실온
268596,0.0,0.0,0.0,0.0,548.6,13.5,15.9,8.0,14.6,496.7,548.7,냉동
270084,0.0,0.0,2368.8,0.0,0.0,203.0,116.2,1715.0,296.8,37.8,2368.8,냉동
271173,0.0,416.0,0.0,0.0,0.0,20.4,374.0,0.0,15.8,5.7,415.9,실온
