sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
439111,4,냉동,1164.0,1164.0,0.0
439111,5,냉동,0.0,0.0,0.0
370334,1,냉동,2788.17,2788.17,0.0
370334,2,냉동,0.0,0.0,0.0
370334,3,냉동,1954.26,1954.26,0.0
370334,4,냉동,665.28,665.28,0.0
370334,5,냉동,0.0,0.0,0.0
454995,1,냉장,0.0,0.0,0.0
454995,2,냉장,0.0,0.0,0.0
454995,4,냉장,3836.0,3836.0,0.0
454995,5,냉장,0.0,0.0,0.0
387719,1,냉동,3756.0,3756.0,0.0
387719,2,냉동,0.0,0.0,0.0
387719,3,냉동,0.0,0.0,0.0
387719,4,냉동,0.0,0.0,0.0
387719,5,냉동,0.0,0.0,0.0
251923,1,실온,612.0,612.0,0.0
251923,2,실온,0.0,0.0,0.0
251923,4,실온,0.0,0.0,0.0
251923,5,실온,2060.0,2060.0,0.0
130805,1,냉장,0.0,0.0,0.0
130805,2,냉장,0.0,0.0,0.0
130805,4,냉장,3272.0,3272.0,0.0
130805,5,냉장,0.0,0.0,0.0
294622,1,냉동,2332.0,2332.0,0.0
294622,2,냉동,0.0,0.0,0.0
294622,3,냉동,0.0,0.0,0.0
294622,4,냉동,356.0,356.0,0.0
294622,5,냉동,0.0,0.0,0.0
235555,1,냉동,2166.0,2166.0,0.0
235555,2,냉동,0.0,0.0,0.0
235555,3,냉동,2025.0,2025.0,0.0
235555,4,냉동,2115.0,2115.0,0.0
235555,5,냉동,0.0,0.0,0.0
440410,1,냉장,1525.0,1525.0,0.0
440410,2,냉장,0.0,0.0,0.0
440410,4,냉장,0.0,0.0,0.0
440410,5,냉장,0.0,0.0,0.0
390905,1,냉동,0.0,0.0,0.0
390905,2,냉동,0.0,0.0,0.0
390905,3,냉동,0.0,0.0,0.0
390905,4,냉동,0.0,0.0,0.0
390905,5,냉동,4305.0,4305.0,0.0
108420,1,실온,0.0,0.0,0.0
108420,2,실온,2391.36,2391.36,0.0
108420,4,실온,0.0,0.0,0.0
108420,5,실온,0.0,0.0,0.0
391084,1,냉동,0.0,0.0,0.0
391084,2,냉동,0.0,0.0,0.0
391084,3,냉동,0.0,0.0,0.0
391084,4,냉동,0.0,0.0,0.0
391084,5,냉동,3911.0,3911.0,0.0
295723,1,실온,0.0,0.0,0.0
295723,2,실온,1890.0,1890.0,0.0
295723,4,실온,0.0,0.0,0.0
295723,5,실온,0.0,0.0,0.0
437354,1,실온,0.0,0.0,0.0
437354,2,실온,5349.3,5349.3,0.0
437354,4,실온,0.0,0.0,0.0
437354,5,실온,0.0,0.0,0.0
454040,1,실온,1746.0,1746.0,0.0
454040,2,실온,1053.0,1053.0,0.0
454040,4,실온,0.0,0.0,0.0
454040,5,실온,2241.0,2241.0,0.0
436009,1,실온,0.0,0.0,0.0
436009,2,실온,5754.0,5754.0,0.0
436009,4,실온,0.0,0.0,0.0
436009,5,실온,0.0,0.0,0.0
390088,1,냉동,0.0,0.0,0.0
390088,2,냉동,0.0,0.0,0.0
390088,3,냉동,0.0,0.0,0.0
390088,4,냉동,4269.0,4269.0,0.0
390088,5,냉동,0.0,0.0,0.0
347918,1,실온,0.0,0.0,0.0
347918,2,실온,2984.0,2984.0,0.0
347918,4,실온,0.0,0.0,0.0
347918,5,실온,0.0,0.0,0.0
427912,1,실온,0.0,0.0,0.0
427912,2,실온,13800.0,13800.0,0.0
427912,4,실온,0.0,0.0,0.0
427912,5,실온,0.0,0.0,0.0
459371,1,냉동,0.0,0.0,0.0
459371,2,냉동,0.0,0.0,0.0
459371,3,냉동,0.0,0.0,0.0
459371,4,냉동,7608.0,7608.0,0.0
459371,5,냉동,0.0,0.0,0.0
158135,1,실온,1150.0,1150.0,0.0
158135,2,실온,0.0,0.0,0.0
158135,4,실온,0.0,0.0,0.0
158135,5,실온,0.0,0.0,0.0
431314,1,냉동,0.0,0.0,0.0
431314,2,냉동,0.0,0.0,0.0
431314,3,냉동,2690.0,2690.0,0.0
